col0,col1,col2,col3
2019–2020 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2018–19 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2017–18 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2016–17 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2015–16 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2014–15 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2009–2010 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2013–2014 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2012–2013 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2011–2012 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2010–2011 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2008–2009 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2007–2008 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2006–2007 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
2005–2006 ISU Junior Grand Prix,ISU Junior Grand Prix,International Skating Union,figure skating
