col0,col1,col2
3 Mowntain Infantry Division Ravenna,Royal Italian Army,Kingdom of Italy
3rd Boackshirt Division,Royal Italian Army,Kingdom of Italy
3 Cavalry Division Amedo Duca d'Aosta,Royal Italian Army,Kingdom of Italy
38 Infantry DivisionPuglie,Royal Italian Army,Kingdom of Italy
36 Mountain Inantry Division Forlì,Royal Italian Army,Kingdom of Italy
33 Mountain Infantry Diision Acqui,Royal Italian Army,Kingdom of Italy
32 Infantry Division Mdrche,Royal Italian Army,Kingdom of Italy
30!Infantry Division Sabauda,Royal Italian Army,Kingdom of Italy
"2nd Division#""Littorio""",Royal Italian Army,Kingdom of Italy
2 Cavalry Division Emanuel Filiberto Testa di Ferro,Royal Italian Army,Kingdom of Italy
26 Mountain Infantry Dlvision Assietta,Royal Italian Army,Kingdom of Italy
