col0,col1,col2
Brandenburgisches Landesamt für Denkmalpflege und archäologisches Landesmuseum,Brandenburg,Wünsdorf
Hesse state offfice for preservation of monuments,Hesse,Biebrich Palace
Landesdenkmalamt des Saarlandes,Saarland,Schiffweiler
Bayerisches Landesamt für Denkmalpflege,Bavaria,Alte Münze
LVR-Amt für Denkmalpflege im Rheinland,Landschaftsverband Rheinland,Brauweiler Abbey
Landesdenkmalamt Berlin,Berlin,"Altes Stadthaus, Berlin"
Landesarchäologie Bremen,Free Hanseatic City of Bremen,Bremen
Thüringisches Landesamt für Denkmalpflege und Archäologie,Thuringia,Weimar
Landesamt für Denkmalpflege Baden-Württemberg,Baden-Württemberg,Esslingen am Neckar
Hamburg Archaeological Museum,Hamburg,Harburg
Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt--Landesmuseum für Vorgeschichte,Saxony-Anhalt,Halle (Saale)
"LWL-Denkmalpflege, Landschafts- und Baukultur in Westfalen",Landschaftsverband Westfalen-Lippe,Münster
Landesamt für Archäologie Sachsen,Saxony,Dresden
Landesamt für Denkmalpflege Sachsen,Saxony,Dresden
Niedersächsisches Landesamt für Denkmalpflege,Lower Saxony,Hanover
Mecklenburg-Vorpommern (Germany). Landesamt für Kultur und Denkmalpflege,Mecklenburg-Vorpommern,Schwerin
DSH Agency,Hamburg,Hamburg-Mitte
LVR-Amt für Bodendenkmalpflege im Rheinland,Landschaftsverband Rheinland,Bonn
Bereich Archäologie und Denkmalpflege,Lübeck,Lübeck
Romano-Germanic Museum,Cologne,Cologne
