col0,col1,col2,col3
Syro-Malabar Catholic Eparchy of Irinjalakuda,1275343,1180,Catholicism
Byzantine Catholic Eparchy of Ruski Krstur,8123267,81911,Catholicism
Syro-Malabar Catholic Eparchy of Satna,9503562,45147,Catholicism
Syrian Catholic Eparchy of Our Lady of Deliverance of Newark,342260000,19613761,Catholicism
Syro-Malabar Catholic Eparchy of Bijnor,10712980,33819,Catholicism
St. Thomas Syro-Malabar Catholic Eparchy of Chicago,308241000,9629091,Catholicism
Syro-Malabar Catholic Eparchy of Ujjain,3926800,18225,Catholicism
Syro-Malabar Catholic Eparchy of Gorakhpur,17125000,19070,Catholicism
Ethiopian Catholic Eparchy of Barentu,765000,44986,Catholicism
Ethiopian Catholic Eparchy of Keren,445860,25949,Catholicism
Macedonian Catholic Eparchy of the Blessed Virgin Mary Assumed in Strumica-Skopje,2052722,25713,Catholicism
