col0,col1,col2,col3,col4
Dorset Studio School,Dorset,United Kingdom,2014-09-01,secondary school
The Bath Studio School,Bath and North East Somerset,United Kingdom,2014-09-01,secondary school
Walsall Studio School,Walsall,United Kingdom,2013-09-02,secondary school
Waverley Studio College,Birmingham,United Kingdom,2013-09-02,secondary school
Stephenson Studio School,Leicestershire,United Kingdom,2011-09-01,secondary school
The Studio @ Deyes,Liverpool,United Kingdom,2016-09-01,secondary school
Knutsford Academy The Studio,Cheshire East,United Kingdom,2014-09-01,secondary school
Stoke Studio College for Manufacturing and Design Engineering,City of Stoke-on-Trent,United Kingdom,2013-09-02,secondary school
Queen Elizabeth Studio School,Cumbria,United Kingdom,2017-09-01,secondary school
Digitech Studio School,South Gloucestershire,United Kingdom,2015-01-01,secondary school
LeAF Studio,"Bournemouth, Christchurch and Poole",United Kingdom,2012-09-01,secondary school
Darwen Aldridge Enterprise Studio,England,United Kingdom,2013-09-02,secondary school
