col0,col1,col2,col3,col4,col5
Austrian women's national road cycling team 2004,2004-12-31,Austrian women's national road cycling team 2005,Austrian women's national road cycling team 2003,2004-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 2003,2003-12-31,Austrian women's national road cycling team 2004,Austrian women's national road cycling team 2002,2003-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 2002,2002-12-31,Austrian women's national road cycling team 2003,Austrian women's national road cycling team 2001,2002-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 2001,2001-12-31,Austrian women's national road cycling team 2002,Austrian women's national road cycling team 2000,2001-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 2000,2000-12-31,Austrian women's national road cycling team 2001,Austrian women's national road cycling team 1999,2000-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1999,1999-12-31,Austrian women's national road cycling team 2000,Austrian women's national road cycling team 1998,1999-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1998,1998-12-31,Austrian women's national road cycling team 1999,Austrian women's national road cycling team 1997,1998-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1997,1997-12-31,Austrian women's national road cycling team 1998,Austrian women's national road cycling team 1996,1997-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1996,1996-12-31,Austrian women's national road cycling team 1997,Austrian women's national road cycling team 1995,1996-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1995,1995-12-31,Austrian women's national road cycling team 1996,Austrian women's national road cycling team 1994,1995-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1994,1994-12-31,Austrian women's national road cycling team 1995,Austrian women's national road cycling team 1993,1994-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1993,1993-12-31,Austrian women's national road cycling team 1994,Austrian women's national road cycling team 1992,1993-01-01,Austrian women's national road cycling team
Austrian women's national road cycling team 1992,1992-12-31,Austrian women's national road cycling team 1993,Austrian women's national road cycling team 1991,1992-01-01,Austrian women's national road cycling team
Belgian women's national road cycling team 2007,2007-12-31,Belgian women's national road cycling team 2008,Belgian women's national road cycling team 2006,2007-01-01,Belgian women's national road cycling team
Belgian women's national road cycling team 2005,2005-12-31,Belgian women's national road cycling team 2006,Belgian women's national road cycling team 2004,2005-01-01,Belgian women's national road cycling team
Belgian women's national road cycling team 2004,2004-12-31,Belgian women's national road cycling team 2005,Belgian women's national road cycling team 2003,2004-01-01,Belgian women's national road cycling team
Belgian women's national road cycling team 2003,2003-12-31,Belgian women's national road cycling team 2004,Belgian women's national road cycling team 2002,2003-01-01,Belgian women's national road cycling team
Belgian women's national road cycling team 2002,2002-12-31,Belgian women's national road cycling team 2003,Belgian women's national road cycling team 2001,2002-01-01,Belgian women's national road cycling team
Belgian women's national road cycling team 2001,2001-12-31,Belgian women's national road cycling team 2002,Belgian women's national road cycling team 2000,2001-01-01,Belgian women's national road cycling team
Belgian women's national road cycling team 2000,2000-12-31,Belgian women's national road cycling team 2001,Belgian women's national road cycling team 1999,2000-01-01,Belgian women's national road cycling team
