col0,col1,col2
Kovrov Urban Okrug,137594,Kovrov
Yelets Urban Okrug,104349,Yelets
Volzhsky Urban Okrug,325224,Volzhsky
Novokuznetsk Urban Okrug,553638,Novokuznetsk
Kurgan Urban Okrug,318045,Kurgan
Magadan Urban Okrug,99683,Magadan
Petropavlovsk-Kamchatsky Urban Okrug,181216,Petropavlovsk-Kamchatsky
Irkutsk Urban Okrug,623869,Irkutsk
Salekhard Urban Okrug,49502,Salekhard
Kemerovo Urban Okrug,558973,Kemerovo
Barnaul Urban District,696378,Barnaul
Cheboksary Urban Okrug,502882,Cheboksary
Vladikavkaz Urban Okrug,323998,Vladikavkaz
Lipetsk Urban Okrug,509735,Lipetsk
Voronezh Urban Okrug,1047549,Voronezh
Belgorod Urban Okrug,391554,Belgorod
Bryansk Urban Okrug,405723,Bryansk
Ivanovo Urban Okrug,406113,Ivanovo
Kostroma Urban Okrug,277280,Kostroma
Syzran Urban Okrug,172070,Syzran
