col0,col1,col2,col3,col4
square Pétrelle,rue Pétrelle,48.0,9th arrondissement of Paris,1902-01-01
square Adanson,rue Monge,86.0,5th arrondissement of Paris,1899-01-01
square Chauré,rue du Lieutenant-Chauré,60.0,20th arrondissement of Paris,1926-01-01
square Roland-Garros,rue du Capitaine-Ferber,44.0,20th arrondissement of Paris,1928-04-20
square Brizeux,rue de Ménilmontant,125.0,20th arrondissement of Paris,1934-01-01
square Jules-Chéret,rue Mendelssohn,55.0,20th arrondissement of Paris,1934-01-01
square Patenne,rue Frédéric-Loliée,81.0,20th arrondissement of Paris,1934-01-01
square Got,cours de Vincennes,78.0,20th arrondissement of Paris,1934-01-01
square Bolivar,rue Clavel,95.0,19th arrondissement of Paris,1902-01-01
square Ornano,boulevard Ornano,66.0,18th arrondissement of Paris,1902-01-01
square Fernand-de-la-Tombelle,square Emmanuel-Chabrier,40.0,17th arrondissement of Paris,1929-01-01
square Pétrarque,rue Scheffer,82.0,16th arrondissement of Paris,1927-01-01
square Jasmin,rue Jasmin,57.53,16th arrondissement of Paris,1927-01-01
square Henry-Paté,rue François-Gérard,153.0,16th arrondissement of Paris,1929-01-01
square Charles-Dickens,rue Charles-Dickens,35.0,16th arrondissement of Paris,1931-01-01
square Antoine-Arnauld,rue Antoine-Arnauld,24.0,16th arrondissement of Paris,1908-01-01
square Alfred-Dehodencq,rue Alfred-Dehodencq,37.0,16th arrondissement of Paris,1927-01-01
square Jean-Paul-Laurens,avenue Théodore-Rousseau,27.0,16th arrondissement of Paris,1928-01-01
square Leroy-Beaulieu,avenue Adrien-Hébrard,25.0,16th arrondissement of Paris,1928-01-01
square Raynouard,Rue Raynouard,36.0,16th arrondissement of Paris,1912-01-01
