col0,col1,col2,col3
Athletics at the 2016 Summer Olympics,Athletics at the 2012 Summer Olympics,International Olympic Committee,athletics
Speed skating at the 1984 Winter Olympics,Speed skating at the 1980 Winter Olympics,International Skating Union,long track speed skating
Luge at the 1968 Winter Olympics,luge at the 1964 Winter Olympics,International Luge Federation,luge
Luge at the 1992 Winter Olympics,Luge at the 1988 Winter Olympics,International Luge Federation,luge
Nordic combined at the 2006 Winter Olympics,Nordic combined at the 2002 Winter Olympics,International Olympic Committee,Nordic skiing
Nordic combined at the 1928 Winter Olympics,Nordic combined at the 1924 Winter Olympics,International Olympic Committee,Nordic combined
Nordic combined at the 1998 Winter Olympics,Nordic combined at the 1994 Winter Olympics,International Olympic Committee,Nordic combined
Nordic combined at the 1988 Winter Olympics,Nordic combined at the 1984 Winter Olympics,International Olympic Committee,Nordic combined
Nordic combined at the 1968 Winter Olympics,Nordic combined at the 1964 Winter Olympics,International Olympic Committee,Nordic combined
Short track speed skating at the 1994 Winter Olympics,Short track speed skating at the 1992 Winter Olympics,International Olympic Committee,short track speed skating
Skeleton at the 2006 Winter Olympics,Skeleton at the 2002 Winter Olympics,International Olympic Committee,skeleton
Cross-country skiing at the 1980 Winter Olympics,Cross-country skiing at the 1976 Winter Olympics,International Ski Federation,cross-country skiing
