col0,col1,col2
Ross Sisters,1942-01-01,Aggie Ross
"Sharon, Lois & Bram",1978-01-01,Sharon Hampson
Il Volo,2010-01-01,Gianluca Ginoble
The Gaylords,1949-01-01,Ronnie Gaylord
Corky and the Juice Pigs,1987-01-01,Phil Nichol
Enanitos Verdes,1979-01-01,Marciano Cantero
Reuben,1998-01-01,Jamie Lenman
Kleiderman,1994-01-01,Branco Mello
HaGashash HaHiver,1963-01-01,Shaike Levi
Shankar–Ehsaan–Loy,1997-01-01,Shankar Mahadevan
Crimson Jazz Trio,2005-01-01,Ian Wallace
Trio,1980-01-01,Gert Krawinkel
Love Unlimited,1969-01-01,Glodean White
Luv',1977-01-01,Patty Brard
Académica Palanca,1989-01-01,Mikel Herzog
Frohman brothers,1915-01-01,Charles Frohman
Doug Anthony All Stars,1984-01-01,Tim Ferguson
O-Zone,1999-01-01,Dan Balan
Arabesque,1977-01-01,Sandra
Fredericks Goldman Jones,1990-01-01,Jean-Jacques Goldman
