col0,col1,col2,col3,col4
Santa Eulalia de Oscos,450,279,547,47.12
Ribera de Arriba,1854,844,648,21.98
Villaviciosa,14439,6222,662,276.23
Tapia de Casariego,3786,1335,645,65.99
Villayón,1206,506,357,132.46
Cabranes,1034,530,581,38.31
Mieres,37959,18333,386,146.03
Gozón,10333,4264,187,81.72
Noreña,5179,2251,207,5.29
Siero,51667,20468,0,211.23
Cangas del Narcea,12347,4848,376,823.57
Carreño,10337,4429,0,66.7
Castrillón,22376,9611,434,55.34
Ribadesella,5746,2697,897,84.37
Aller,10613,7200,2123,375.89
Llanes,13568,5687,1177,263.59
Langreo,39420,18940,1021,82.46
Pesoz,147,155,856,38.97
Cangues d'Onís,6163,2709,87,212.75
Cabrales,1960,1149,307,238.29
