col0,col1,col2,col3
Haute-Garonne,4405,6309,1362672
Gironde,5553,10000,1583384
Gers,600,6257,191091
Gard,2973,5853,744178
Finistère,2863,6733,909028
Eure-et-Loir,1492,5880,433233
Eure,2252,6040,601843
Essonne,4155,1804,1296130
Drôme,2021,6530,511553
Doubs,1847,5234,539067
Dordogne,1475,9060,413606
Creuse,376,5565,118638
Côtes-d'Armor,2063,6878,598814
Côte-d’Or,1733,8763,533819
Corse-du-Sud,557,4014,157249
Haute-Corse,635,4666,177689
Corrèze,816,5857,241464
Cher,1039,7235,304256
Charente-Maritime,2395,6864,644303
Charente,1255,5956,352335
