col0,col1,col2,col3
Corpo Truppe Volontarie,Spanish Civil War,corps,Italy
Corpo d'Armata Motocorazzato,World War II,corps,Kingdom of Italy
IV Army Corps,World War II,corps,Nazi Germany
II SS Panzer Corps,World War II,corps,Nazi Germany
I SS Panzer Corps,World War II,corps,Nazi Germany
I Army Corps,World War II,corps,Nazi Germany
XIX Army Corps,World War II,corps,Nazi Germany
III,World War II,corps,Nazi Germany
Free Corps Denmark,World War II,corps,Denmark
XVII Army Corps,World War II,corps,Nazi Germany
LII Army Corps,World War II,corps,Nazi Germany
LV Army Corps,World War II,corps,Nazi Germany
3rd Cavalry Corps,World War I,corps,Russian Empire
XVIII Airborne Corps,World War II,corps,United States of America
Finnish Volunteer Battalion of the Waffen-SS,World War II,corps,Nazi Germany
