col0,col1,col2
American Vacuum Society,United States of America,New York
American Entomological Society,United States of America,Philadelphia
Moskovskoe obshchestvo selʹskogo khozi︠a︡ĭstva,Russian Empire,Moscow
Accademia di medicina di Torino,Italy,Turin
Associazione italiana di metallurgia,Italy,Milan
American Musicological Society,United States of America,New York City
Finno-Ugrian Society,Finland,House of Science and Letters
Commission for the Geological Map of the World,France,rue Claude-Bernard
Société des africanistes (France),France,7th arrondissement of Paris
Association for the Advancement of Artificial Intelligence,United States of America,Palo Alto
Namibia Scientific Society,Namibia,Windhoek
Physikalischer Verein,Germany,Frankfurt am Main
Union of Czech mathematicians and physicists,Czech Republic,Prague
Saint Petersburg Mathematical Society,Russia,Saint Petersburg
Moscow Mathematical Society,Russia,Moscow
London Mathematical Society,United Kingdom,London
Royal Statistical Society,United Kingdom,London
Physikalische Gesellschaft der DDR,Germany,Berlin
International Commission on Mathematical Instruction,Germany,Berlin
The Optical Society,United States of America,"Washington, D.C."
