col0,col1,col2,col3
Have Nots,2006-01-01,ska punk,Paper + Plastick
Hurrah!,1991-01-01,jangle pop,Kitchenware Records
Jarcrew,1999-01-01,dance-punk,Gut Records
Horrorshow,2006-01-01,Australian hip hop,Elefant Traks
Hooray for Earth,2005-01-01,pop rock,Dovecote Records
Fetchin Bones,1983-01-01,rock music,DB Records
Empire! Empire!,2006-01-01,emo,Count Your Lucky Stars Records
James & Bobby Purify,1965-01-01,rhythm and blues,Bell Records
El Gran Silencio,1993-01-01,rock en español,Ark 21 Records
For Squirrels,1992-01-01,alternative rock,550 Music
John ac Alun,1990-01-01,country music,Sain (Records) Ltd
Hi-Q,1996-01-01,pop music,Roton
Johnson Mountain Boys,1978-01-01,bluegrass music,Rounder Records
