col0,col1,col2
8th Infantry Division,1918-01-01,1939-09-01
15th (Scottish) Infantry Division,1914-01-01,1918-01-01
49th (West Riding) Infantry Division,1908-01-01,1967-01-01
6th Infantry Division,1917-01-01,1921-01-01
4th Infantry Division,1934-10-01,1940-08-15
1st Infantry Division,1934-01-01,1945-01-01
9th Infantry Division,1934-01-01,1945-01-01
7th Infantry Division,1917-01-01,1921-09-22
7th Infantry Division,1934-01-01,1945-01-01
47th Infantry Division (Wehrmacht),1944-01-01,1945-01-01
