col0,col1,col2,col3
Universal Astrolabe,History of Science Museum,Lewis Evans,Latin
Dodecagonal Astrolabe,History of Science Museum,Lewis Evans,Latin
Paper Astrolabe,History of Science Museum,Lewis Evans,Latin
Geographical Astrolabe,History of Science Museum,Lewis Evans,Latin
Astrolabe of Philis de Din,History of Science Museum,Lewis Evans,Latin
Astrolabe and Astrological Volvelle,History of Science Museum,Lewis Evans,Latin
Middle Gothic Astrolabe,History of Science Museum,Lewis Evans,Latin
Hispano-Moorish Astrolabe,History of Science Museum,Lewis Evans,Latin
Astrolabe,History of Science Museum,Jack A. Billmeir,French
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Modern Fake Persian-type Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Jack A. Billmeir,Arabic
Astrolabe,History of Science Museum,Lewis Evans,Arabic
Astrolabe,History of Science Museum,Lewis Evans,Arabic
Astrolabe,History of Science Museum,Lewis Evans,Arabic
Astrolabe,History of Science Museum,Lewis Evans,Arabic
Astrolabe,History of Science Museum,Lewis Evans,Arabic
Astrolabe,History of Science Museum,Lewis Evans,Arabic
