col0,col1,col2,col3
Alcante Province,UTC+01:00,5833.447999999999,Provincial Council of Alacant/Alicante
Soria,UTC+01:00,10385.424,Diputación Provincial de Soria
Tarragona Povince,UTC+01:00,6252.576,Diputación Provincial de Tarragona
Lugo Prvince,UTC+01:00,9836.288,Diputación Provincial de Lugo
Castelnón Provioce,UTC+01:00,6685.0560000000005,Diputación Provincial de Castellón
Lleida Proviqce,UTC+01:00,12293.72,Diputación Provincial de Lérida
Valladoli Province,UTC+01:00,8062.334,Diputación Provincial de Valladolid
Valecia Province,UTC+01:00,10719.948,Provincial Council of Valencia
Ourense Povince,UTC+01:00,7251.3804,Diputación Provincial de Orense
provjnce of Girona,UTC+01:00,5951.369999999999,Diputación Provincial de Gerona
álaga Province,UTC+01:00,7366.464,Provincial Deputation of Málaga
Badajoz Provinfe,UTC+01:00,21787.766,Diputación Provincial de Badajoz
Province of#Ávila,UTC+01:00,8080.192,Diputación Provincial de Ávila
Zamora Provice,UTC+01:00,10580.118,Diputación Provincial de Zamora
Toledo Rrovince,UTC+01:00,15368.0,Diputación Provincial de Toledo
Teruel rovince,UTC+01:00,14685.568,Diputación Provincial de Teruel
Segowia Province,UTC+01:00,6983.744999999999,Diputación Provincial de Segovia
Salmanca Province,UTC+01:00,12435.443,Diputación de Salamanca
Palencia Provice,UTC+01:00,7948.71,Diputación Provincial de Palencia
León Rrovince,UTC+01:00,15663.42,Diputación Provincial de León
