col0,col1,col2,col3
Roman Catholic Archdiocese of Ferrara-Comacchio,277211,Italy,Ferrara
Roman Catholic Archdiocese of Detroit,4626000,United States of America,Detroit
Roman Catholic Archdiocese of Cardiff,1524000,United Kingdom,Cardiff
Roman Catholic Archdiocese of Burgos,365382,Spain,Burgos
Roman Catholic Archdiocese of Guadalajara,6168300,Mexico,Guadalajara
Roman Catholic Archdiocese of Granada,793400,Spain,Granada
Roman Catholic Archdiocese of Karachi,14608000,Pakistan,Karachi
Roman Catholic Archdiocese of Baltimore,3250032,United States of America,Baltimore
Roman Catholic Archdiocese of Barquisimeto,2026000,Venezuela,Barquisimeto
Roman Catholic Archdiocese of Curitiba,2605000,Brazil,Curitiba
Roman Catholic Archdiocese of Harare,5544000,Zimbabwe,Harare
Roman Catholic Archdiocese of Bujumbura,2087000,Burundi,Bujumbura
Roman Catholic Archdiocese of Brazzaville,955000,Republic of the Congo,Brazzaville
Roman Catholic Archdiocese of Bangui,964105,Central African Republic,Bangui
Roman Catholic Archdiocese of Freetown,1657000,Sierra Leone,Freetown
Roman Catholic Archdiocese of Dakar,3179000,Senegal,Dakar
Archdiocese of Caceres,1253348,Philippines,Naga
Archdiocese of Halifax-Yarmouth,757224,Canada,Halifax
Roman Catholic Archdiocese of Edmonton,1653279,Canada,Edmonton
Roman Catholic Archdiocese of Dar-es-Salaam,5782472,Tanzania,Dar es Salaam
