col0,col1,col2
"Congregatie van de Zwartzusters Augustinessen, Rupelmonde",Rupelmonde,Archief van het Bisdom Gent
Congregatie van de Zwartzusters,Mechelen,City Archives of Mechelen
"Congregatie Onze-Lieve-Vrouw Bijstand, Mechelen",Mechelen,Archiepiscopal Archive of Mechelen
"Congregatie Onze-Lieve-Vrouw, Mechelen",Mechelen,Archiepiscopal Archive of Mechelen
"Congregatie Den Trouw van Maria, Mechelen",Mechelen,Archiepiscopal Archive of Mechelen
"Congregatie van de Zwartzusters Augustinessen, Brussel",Brussels,Archiepiscopal Archive of Mechelen
Congregatie der Gentse Parochiepastoors,Ghent,State Archives in Ghent
Congregatie van het Heilig Hart in de Parochie van Sint-Antonius Abt te Meulestede [Gent],Ghent,State Archives in Ghent
Congregatie van de Zusters Franciscanessen (Crombeen),Ghent,Liberal Archive
Congregatie van de Geestelijke Dochters van de Derde Orde van Sint-Franciscus te Turnhout,Turnhout,State Archives in Antwerp
Congregatie van de Zusters van Onze-Lieve-Vrouw van VII Weeën van Sint-Genesius-Rode,Sint-Genesius-Rode,KADOC
Congregatie van de Zusters van het Arme Kind Jezus - Klooster Borsbeek,Borsbeek,KADOC
"Congregatie van de Zusters 'Dochters van Maria', Willebroek",Willebroek,KADOC
Beveren Congregatie van de Zusters van de H. Vincentius-a-Paulo,Beveren,KADOC
Congregatie van de Zusters van de H. Vincentius a Paulo van Zele,Beveren,KADOC
Dendermonde Congregatie van de Zusters van de H. Vincentius a Paulo,Dendermonde,KADOC
Gijzegem - Huis Drongen Congregatie van de Zusters van Sint-Vincentius a Paulo 'Dienstmaagden der Armen',Antwerp,Gijzegem - Huis Drongen Congregatie van de Zusters van Sint-Vincentius a Paulo 'Dienstmaagden der Armen'
"Congregatie van de Gasthuiszusters Augustinessen, Geel",Geel,Gasthuismuseum
"Reguliere Kanunnikessen ñ Abdij Roosenberg, Waasmunster",Waasmunster,Roosenberg Abbey
"Reguliere kanunnikessen ñ Abdij Roosenberg, Waasmunster ñ Ancien RÈgime",Waasmunster,Roosenberg Abbey
