col0,col1,col2
"Compañía del Gramófono-Odeon, S.A.E.",1972-01-01,Vila de Gràcia
"CBS/Columbia Internacional, S.A.",1988-01-01,Naucalpan de Juárez
Discos CBS Indústria e Comércio Ltda.,1991-01-01,Rio de Janeiro
"CBS Discos, Inc.",1991-01-01,Miami
"Movieplay, S.A.",1983-01-01,Madrid
"Sonoplay, S.A.",1968-01-01,Madrid
Frozen Veins Records,2010-01-01,Tokyo
"Discos CBS, S.A., Mexico",1968-01-01,Mexico City
Ala Bianca Music Publishing & Music Productions S.r.l.,1990-01-01,Modena
The Parlophone Co. Ltd.,1965-01-01,London
