col0,col1,col2,col3
Danko Jones,Danko Jones,1996-01-01,Toronto
Noori,Noori,1996-01-01,Lahore
1927,1927,1987-01-01,Melbourne
Jumbo,Jumbo,1969-01-01,Milan
The Move,(The) Move,1965-01-01,Birmingham
Ange,Ange,1969-01-01,Belfort
Numen,Numen,1992-01-01,Alicante
Marilyn Manson,Marilyn Manson,1989-01-01,Florida
Gong,Gong,1967-01-01,Paris
Angel,Angel,1975-01-01,"Washington, D.C."
Styx,Styx,1970-01-01,United States of America
Smash Mouth,Smashmouth,1994-01-01,San Jose
Wizard,Sharp Wizard,1989-01-01,Germany
Live,Live,1988-01-01,York
Ride,Ride,1988-01-01,Oxford
The Beatles,The Beatles,1960-01-01,Liverpool
HIM,HIM,1991-01-01,Helsinki
Nautilus Pompilius,Nautilus Pompilius,1982-01-01,Yekaterinburg
The Monks,The Monks,1965-01-01,Gelnhausen
Tantric,Tantric,1999-01-01,Louisville
