col0,col1,col2,col3
Historisches Archiv der Zürcher Kantonalbank,class A Swiss cultural property of national significance,Zürich,company archive
"Ringier AG, Firmenarchiv",class A Swiss cultural property of national significance,Zürich,company archive
"Neue Zürcher Zeitung, Redaktionsarchiv",class A Swiss cultural property of national significance,Zürich,company archive
Sulzer AG,class A Swiss cultural property of national significance,Winterthur,company archive
Archives historiques Nestlé,class A Swiss cultural property of national significance,Canton of Vaud,company archive
Victorinox AG,class B Swiss cultural property of regional significance,Canton of Schwyz,company archive
Konzernarchiv der Georg Fischer AG,class A Swiss cultural property of national significance,Schaffhausen,company archive
Vacheron Constantin,class A Swiss cultural property of national significance,Canton of Geneva,company archive
Patek Philippe SA,class A Swiss cultural property of national significance,Canton of Geneva,company archive
Archives historiques EOS,class A Swiss cultural property of national significance,Lausanne,company archive
Lindt & Sprüngli archives,class A Swiss cultural property of national significance,canton of Zürich,company archive
