col0,col1,col2
Arndt-Gymnasium Dahlem,Steglitz-Zehlendorf,architectural heritage monument
Carl-von-Ossietzky-Gymnasium,Berlin,architectural heritage monument
Askanian Gymnasium,Berlin,architectural heritage monument
Gisela Gymnasium,Munich,architectural heritage monument in Bavaria
Mauritius-Gymnasium Büren,Büren,architectural heritage monument in North Rhine-Westphalia
Gymnasium Leopoldinum (Detmold),Detmold,architectural heritage monument in North Rhine-Westphalia
Grosse Stadtschule zu Wismar,Wismar,Kulturdenkmal
Gymnasium Dresden-Plauen,Dresden,Kulturdenkmal
Gymnasium Dreikönigschule Dresden,Dresden,Kulturdenkmal
Marie-Curie-Gymnasium Dresden,Dresden,Kulturdenkmal
Geschwister-Scholl-Gymnasium Ludwigshafen,Rhineland-Palatinate,Kulturdenkmal
"Goethe-Schiller-Gymnasium, Jüterbog",Jüterbog,architectural heritage monument
Goethe Gymnasium,Charlottenburg-Wilmersdorf,architectural heritage monument
Hansa-Gymnasium Hansestadt Stralsund,Stralsund,architectural heritage monument in Mecklenburg-Vorpommern
Holbein-Gymnasium Augsburg,Augsburg,architectural heritage monument in Bavaria
Hildegard of Bingen Gymnasium,Sülz,architectural heritage monument in North Rhine-Westphalia
Luisen-Gymnasium Düsseldorf,Düsseldorf,architectural heritage monument in North Rhine-Westphalia
Görres-Gymnasium Düsseldorf,Düsseldorf,architectural heritage monument in North Rhine-Westphalia
Herder-Gymnasium,Berlin,Kulturdenkmal
Gymnasium Steglitz,Steglitz-Zehlendorf,architectural heritage monument
