col0,col1,col2,col3
Daegu Seobu Office of Education,Daegu Metropolitan Office of Education,Seo District,South Korea
Ulsan Gangbuk Office of Education,Ulsan Metropolitan City Office of Education,Buk District,South Korea
Busan Bukbu Office of Education,Busan Metropolitan Office of Education,Buk District,South Korea
Incheon Bukbu Office of Education,Incheon Metropolitan City Office of Education,Bupyeong District,South Korea
Seoul Dongjak Gwanak District Office of Education,Seoul Metropolitan Office of Education,Dongjak District,South Korea
Busan Dongnae Office of Education,Busan Metropolitan Office of Education,Dongnae District,South Korea
Seoul Dongbu District Office of Education,Seoul Metropolitan Office of Education,Dongdaemun District,South Korea
Seoul Bukbu District Office of Education,Seoul Metropolitan Office of Education,Dobong District,South Korea
Jeonju Office of Education,Jeonbuk Provincial Office of Education,Deokjin-gu,South Korea
Wanju Office of Education,Jeonbuk Provincial Office of Education,Deokjin-gu,South Korea
Incheon Dongbu Office of Education,Incheon Metropolitan City Office of Education,Namdong District,South Korea
Ulsan Gangnam Office of Education,Ulsan Metropolitan City Office of Education,Nam District,South Korea
Busan Nambu Office of Education,Busan Metropolitan Office of Education,Nam District,South Korea
