col0,col1,col2
N14 road,Wittenburgerweg,Rijkswaterstaat
A16 motorway,Hazeldonk,Rijkswaterstaat
A58 motorway,Batadorp interchange,Rijkswaterstaat
A76 motorway,Germany–Netherlands border,Rijkswaterstaat
A67 motorway,Germany–Netherlands border,Rijkswaterstaat
A77 motorway,Rijkevoort interchange,Rijkswaterstaat
A74 motorway,Tiglia interchange,Rijkswaterstaat
A79 motorway,Kruisdonk interchange,Rijkswaterstaat
A31 motorway,Zurich interchange,Rijkswaterstaat
A20 motorway,Gouwe interchange,Rijkswaterstaat
