col0,col1,col2,col3
Energy Coast UTC,University Technical College,United Kingdom,Workington
Elutec,University Technical College,United Kingdom,Dagenham
UTC Sheffield,University Technical College,United Kingdom,Sheffield
UTC Reading,University Technical College,United Kingdom,East Reading
Elstree University Technical College,University Technical College,United Kingdom,Elstree
Buckinghamshire UTC,University Technical College,United Kingdom,Aylesbury
UTC Plymouth,University Technical College,United Kingdom,Plymouth
Wigan UTC,University Technical College,United Kingdom,Wigan
Liverpool Life Sciences UTC,University Technical College,United Kingdom,Liverpool
Bristol Technology and Engineering Academy,University Technical College,United Kingdom,Stoke Gifford
The JCB Academy,University Technical College,United Kingdom,Rocester
Silverstone UTC,University Technical College,United Kingdom,Towcester
Aston University Engineering Academy,University Technical College,United Kingdom,Birmingham
Nottingham University Academy of Science and Technology,free school,United Kingdom,Nottingham
University Technical College Norfolk,school (building),United Kingdom,Norwich
