col0,col1,col2,col3
Tennessee Bureau of Investigation,1980-03-27,law enforcement agency,550
Taft Police Department,1910-01-01,law enforcement agency,25
Stafford County Sheriff's Office,1664-01-01,law enforcement agency,271
Sovereign Base Areas Police,1960-01-01,law enforcement agency,253
Southampton Village Police Department,1894-01-01,law enforcement agency,46
Southampton Town Police Department,1951-01-01,law enforcement agency,157
Metro Vancouver Transit Police,2005-01-01,law enforcement agency,234
Somaliland Police,1993-01-01,law enforcement agency,6500
Sochi Police,1881-01-01,law enforcement agency,10000
Sindh Police,1843-01-01,law enforcement agency,105234
