col0,col1,col2,col3,col4
BMW Museum,Milbertshofen-Am Hart,automobile museum,Am Riesenfeld,1972-01-01
Walter P. Chrysler Museum,Michigan,automobile museum,Auburn Hills,1999-10-05
Porsche Museum,Stuttgart,automobile museum,Zuffenhausen,1976-01-01
ArtCar Museum,Texas,art museum,Houston,1988-01-01
America's Car Museum,Washington,nonprofit organization,Tacoma,2012-06-02
Collings Foundation,Stow,aviation museum,Stow,1979-01-01
Dick's Classic Garage,San Marcos,automobile museum,San Marcos,1980-01-01
London Motor Museum,Hayes,automobile museum,Hayes,2012-01-01
Haynes International Motor Museum,Sparkford,automobile museum,Sparkford,1985-01-01
Collings Foundation,Stow,automobile museum,Stow,1979-01-01
Lane Motor Museum,Nashville,automobile museum,Nashville,2003-01-01
Louwman Museum,The Hague,automobile museum,The Hague,1969-01-01
Automotive Hall of Fame,Michigan,automobile museum,Michigan,1939-10-18
