col0,col1,col2
Alphabet Inc.,80110,197295000000
The Coca-Cola Company,200000,83210000000
Edison International,16677,41440000000
PhosAgro,5000,229204000000
ALROSA,40000,7427000000
American Express,56000,158900000000
Telefónica,121853,90707000000
Oracle Corporation,122000,98800000000
Deutsche Telekom,218341,148485000000
Yandex,8854,243106000000
AvtoVAZ,36412,114392000000
Nokia,103083,39517000000
Boeing,153000,117359000000
Rosseti,188800,2266678000000
MTS,58052,544470000000
Sibur,27000,1083826000000
Banco Santander,194000,1340000000000
ExxonMobil,73500,336758000000
Gazprom,469600,18238770000000
Panasonic Corporation,257533,5982961000000
