col0,col1,col2
Comarcal Council of Vall d'Aran,Vielha e Mijaran,comarcal councillor of Vall d'Aran
Comarcal Council of Segarra,Cervera,comarcal councillor of Segarra
Comarcal Council of Garrigues,Les Borges Blanques,comarcal councillor of Garrigues
Comarcal Council of Segrià,Lleida,comarcal councillor of Segrià
Comarcal Council of Osona,Vic,comarcal councillor of Osona
Comarcal Council of Berguedà,Berga,comarcal councillor of Berguedà
Comarcal Council of Pallars Jussà,Tremp,comarcal councillor of Pallars Jussà
Comarcal Council of Terra Alta,Gandesa,comarcal councillor of Terra Alta
Comarcal Council of Moianès,Moià,comarcal councillor of Moianès
Comarcal Council of Alta Ribagorça,El Pont de Suert,comarcal councillor of Alta Ribagorça
Comarcal Council of Ribera d'Ebre,Móra d'Ebre,comarcal councillor of Ribera d'Ebre
Comarcal Council of Priorat,Falset,comarcal councillor of Priorat
Comarcal Council of Alt Penedès,Vilafranca del Penedès,comarcal councillor of Alt Penedès
Comarcal Council of Baix Penedès,El Vendrell,comarcal councillor of Baix Penedès
