col0,col1,col2
Velasco (1764),Spain,Spanish Navy
Louis XIV,France,French Navy
HMS Plantagenet,United Kingdom of Great Britain and Ireland,Royal Navy
HMS Illustrious,United Kingdom of Great Britain and Ireland,Royal Navy
HMS Fame,United Kingdom of Great Britain and Ireland,Royal Navy
HMS Dragon,United Kingdom of Great Britain and Ireland,Royal Navy
HMS Bulwark,United Kingdom of Great Britain and Ireland,Royal Navy
HMS Royal Oak,Great Britain,Royal Navy
HMS Illustrious,Great Britain,Royal Navy
HMS Greenwich,Great Britain,Royal Navy
HMS Exeter,Great Britain,Royal Navy
Puissant,France,Royal Navy
Censeur,France,Royal Navy
USS North Carolina,United States of America,United States Navy
Kronan,Sweden,Swedish Navy
Vasa,Sweden,Swedish Navy
San Telmo,Spain,Spanish Navy
Soleil Royal,Kingdom of France,French Navy
French ship Orignal,France,French Navy
Bourgogne,France,French Navy
