col0,col1,col2
USS Bass,United States Barracuda-class submarines (1951),United States Navy
USS Bream,Gato-class submarine,United States Navy
USS Wolffish,Balao-class submarine,United States Navy
USS Eel,Balao-class submarine,United States Navy
BAP Pacocha,Balao-class submarine,United States Navy
USS Archer-Fish,Balao-class submarine,United States Navy
USS Ono,Balao-class submarine,United States Navy
USS Dugong,Balao-class submarine,United States Navy
USS Jawfish,Balao-class submarine,United States Navy
USS Nerka,Balao-class submarine,United States Navy
USS Goldring,Balao-class submarine,United States Navy
USS Needlefish,Balao-class submarine,United States Navy
USS Espada,Balao-class submarine,United States Navy
USS Garlopa,Balao-class submarine,United States Navy
USS Garrupa,Balao-class submarine,United States Navy
USS Parche,Balao-class submarine,United States Navy
HNLMS Tijgerhaai,Zwaardvis-class submarine,United States Navy
Yugoslav submarine Osvetnik,Osvetnik-class submarine,Royal Navy
Luigi Settembrini submarine,Settembrini-class submarine,Royal Navy
Glauco,Glauco-class submarine,Royal Navy
