col0,col1,col2,col3
Manche,France,geography of Manche,UTC+01:00
Haut-Rhin,France,geography of Haut-Rhin,UTC+01:00
Essonne,France,geography of Essonne,UTC+01:00
Jura,France,geography of Jura (department),UTC+01:00
Vosges,France,geography of Vosges,UTC+01:00
Puy-de-Dôme,France,geography of Puy-de-Dôme,UTC+01:00
Loiret,France,geography of Loiret,UTC+01:00
Gers,France,geography of Gers,UTC+01:00
Doubs,France,geography of Doubs,UTC+01:00
Gard,France,geography of Gard,UTC+01:00
Cantal,France,geography of Cantal,UTC+01:00
Calvados,France,geography of Calvados,UTC+01:00
Bas-Rhin,France,geography of Bas-Rhin,UTC+01:00
Pyrénées-Orientales,France,geography of Pyrénées-Orientales,UTC+01:00
Pyrénées-Atlantiques,France,geography of Pyrénées-Atlantiques,UTC+01:00
Landes,France,geography of Landes,UTC+01:00
Hauts-de-Seine,France,geography of Hauts-de-Seine,UTC+01:00
Hautes-Pyrénées,France,geography of Hautes-Pyrénées,UTC+01:00
Hautes-Alpes,France,geography of Hautes-Alpes,UTC+01:00
Bouches-du-Rhône,France,geography of Bouches-du-Rhône,UTC+01:00
