col0,col1,col2
Moosic,5575,1898-01-01
Northumberland,3714,1772-01-01
Richland,1508,1906-01-01
South New Castle,709,1901-01-01
Greenville,6380,1819-01-01
Wilson,7896,1914-01-01
West Hazleton,4573,1889-01-01
Homestead,3165,1871-01-01
Ligonier,1695,1760-01-01
West Pittston,4846,1857-01-01
Punxsutawney,5861,1816-01-01
Ashley,2779,1870-01-01
Gettysburg,7620,1780-01-01
Rochester,3657,1799-01-01
Emmaus,11313,1759-01-01
Vanderbilt,553,1903-01-01
"Shanksville, Pennsylvania",245,1798-01-01
"Point Marion, Pennsylvania",1159,1842-01-01
"Nescopeck, Pennsylvania",1573,1896-01-01
Yardley,2434,1709-01-01
