col0,col1,col2
Valley Plaza Mall,Brookfield Properties Retail Group,"2000 Wible Road, Bakersfield, CA 93304"
Westfield Montgomery,Unibail Rodamco Westfield,"7101 Democracy Boulevard, Bethesda, MD 20817 U.S."
Shops at New West,First Capital Realty,"800 Carnarvon Street, New Westminster, BC, V3M 0G3, Canada"
Westfield Doncaster,Scentre Group,619 Doncaster Road
Westfield Newmarket,Scentre Group,"277 Broadway, Newmarket, Auckland 1023"
White Flint Mall,Lerner Enterprises,"11301 Rockville Pike, North Bethesda, MD 20895-1021 U.S."
Westlake Center,Brookfield Properties Retail Group,"400 Pine Street, Seattle, WA 98101"
Westfield Sunrise,Westfield Group,"319 Sunrise Mall, Massapequa, NY 11758"
Westfield Wheaton,Unibail Rodamco Westfield,"11160 Veirs Mill Road, Wheaton, MD 20902-1094"
Sandton City,Liberty Holdings Limited,"Sandton City Mall, Rivonia Road, Sandton"
International Plaza and Bay Street,Taubman Centers,"2223 N. Westshore Blvd., Tampa, FL 33607"
Mid Rivers Mall,CBL & Associates Properties,"1220 Mid Rivers Mall Drive, St. Peters, MO 63376"
Cielo Vista Mall,Simon Property Group,7101 Gateway West Blvd.
