col0,col1,col2,col3
Marah,1993-01-01,alternative country,Yep Roc Records
Milton Mapes,1999-01-01,folk rock,Undertow Music
Musée Mécanique,2006-01-01,indie folk,Tender Loving Empire
N-Tyce,1996-01-01,pop music,Telstar Records
Machinations,1997-01-01,synth-pop,Phantom Records
Mint Condition,1984-01-01,rhythm and blues,Perspective Records
Muph & Plutonic,2004-01-01,hip hop music,Obese Records
Laddio Bolocko,1996-01-01,math rock,No Quarter Records
Mount Vernon Arts Lab,1996-01-01,electronica,Earworm Records
Nemo,2002-01-01,indie rock,Binge Records
La Pestilencia,1986-01-01,heavy metal,EMI Records
Love Jones,1990-01-01,lounge music,Zoo Entertainment
Kiln,1994-01-01,ambient music,Ghostly International
