col0,col1,col2,col3,col4
Led Zeppelin,Led Zeppelin discography,Template:Led Zeppelin,Rock and Roll Hall of Fame,Robert Johnson
The Beatles,The Beatles discography,Template:The Beatles,Rock and Roll Hall of Fame,Ravi Shankar
Pink Floyd,Pink Floyd discography,Template:Pink Floyd,Grammy Hall of Fame,The Who
The Beatles,The Beatles discography,Template:The Beatles,Rock and Roll Hall of Fame,Little Richard
Led Zeppelin,Led Zeppelin discography,Template:Led Zeppelin,Rock and Roll Hall of Fame,The Lord of the Rings
The Beatles,The Beatles discography,Template:The Beatles,Rock and Roll Hall of Fame,Buddy Holly
Red Hot Chili Peppers,Red Hot Chili Peppers discography,Template:Red Hot Chili Peppers,MTV Europe Music Award for Best Rock,Jimi Hendrix
The Beatles,The Beatles discography,Template:The Beatles,Rock and Roll Hall of Fame,Chuck Berry
The Rolling Stones,The Rolling Stones discography,Template:The Rolling Stones,Grammy Hall of Fame,Chuck Berry
The Beatles,The Beatles discography,Template:The Beatles,Rock and Roll Hall of Fame,Ludwig van Beethoven
The Who,The Who discography,Template:The Who,Rock and Roll Hall of Fame,Mose Allison
AC/DC,AC/DC discography,Template:AC/DC,Rock and Roll Hall of Fame,Airbourne
The Rolling Stones,The Rolling Stones discography,Template:The Rolling Stones,Grammy Hall of Fame,Muddy Waters
