col0,col1,col2
Islamic University of Technology,201,1140
"UMIT - Private University for Health Sciences, Medical Informatics and Technology",250,1814
University of Hyderabad,250,3500
Acadia University,248,3485
University of Palestine,119,1906
College of Europe,140,420
Harish-Chandra Research Institute,87,79
American University of Armenia,71,440
Lincoln American University,107,260
Ochanomizu University,105,2075
Universitat d'Andorra,94,1741
Akita International University,94,820
Ilisimatusarfik,100,650
MODUL University Vienna,100,600
International University in Geneva,65,270
Algoma University,38,1159
Bedër University,50,485
European University at Saint Petersburg,50,170
Texas A&M University at Qatar,52,300
University of Kurdistan – Hawler,24,414
