col0,col1,col2
parish of Santa Maria de Pineda de Mar,archpriesthood of Maresme,Pineda de Mar
parish of Santa Maria i Sant Nicolau de Calella,archpriesthood of Maresme,Calella
parish of Sant Jaume de Sant Pol de Mar,archpriesthood of Maresme,Sant Pol de Mar
parish of Sant Cebrià de Vallalta,archpriesthood of Maresme,Sant Cebrià de Vallalta
parish of Sant Martí de Taravaus,archpriesthood of Alt Empordà Interior,Vilanant
parish of Santa Maria de Vilabertran,archpriesthood of Alt Empordà Interior,Vilabertran
parish of Sant Iscle de Vallalta,archpriesthood of Maresme,Sant Iscle de Vallalta
parish of Sant Pere i Sant Pau de Canet de Mar,archpriesthood of Maresme,Canet de Mar
parish of Santa Maria Assumpta d'Arenys de Mar,archpriesthood of Maresme,Arenys de Mar
parish of Sant Martí de Tours d'Arenys de Munt,archpriesthood of Maresme,Arenys de Munt
