col0,col1,col2
Universidade Federal do Acre,Brazil,Acre
Rio Grande do Sul State University,Brazil,Porto Alegre
"Federal Institute of Education, Science and Technology of Ceará",Brazil,Ceará
UFVJM,Brazil,Diamantina
State University of Maranhão,Brazil,São Luís
"Federal Institute of Education, Science, and Technology of Maranhao",Brazil,São Luís
West Zone State University,Brazil,Rio de Janeiro
Instituto Superior de Tecnologia em Ciências da Computação do Rio de Janeiro,Brazil,Rio de Janeiro
Instituto Nacional de Educação de Surdos (Brazil),Brazil,Rio de Janeiro
"Instituto Federal de Educação, Ciência e Tecnologia Fluminense",Brazil,Rio de Janeiro
Federal Institute of Brasília,Brazil,Brasília
"Institute of Mathematics and Statistics, University of São Paulo",Brazil,São Paulo
Barcelona East School of Engineering,Spain,El Besòs i el Maresme
Brusque University Center,Brazil,"Brusque, Santa Catarina"
OBS De Eevliet,Netherlands,Tholen
Dr. Martin Luther King School,Netherlands,Dinkelland
Faculdade de Filosofia e Ciências Humanas de Goiatuba,Brazil,Goiatuba
Centro Educacional de Buritizeiro,Brazil,Buritizeiro
