col0,col1,col2
University of Applied Sciences Jena,436,4702
Dortmund University of Applied Sciences and Arts,749,13559
Ravensburg University of Cooperative Education,210,3600
Baden-Württemberg Cooperative State University,2004,34390
Regensburg University of Applied Sciences,755,11000
Jade University of Applied Sciences,500,7600
Technische Hochschule OWL,697,6544
HTW Berlin,1430,13922
Beuth University of Applied Sciences Berlin,461,12817
BBW University of Applied Sciences,62,1045
Karlsruhe University of Applied Sciences,488,8371
Hochschule Furtwangen University,425,6687
Deggendorf Institute of Technology,452,5760
Berlin School of Economics and Law,287,10271
Munich University of Applied Sciences,500,18183
Darmstadt University of Applied Sciences,967,16136
University of Applied Sciences Rosenheim,420,5900
Katholische Hochschule Nordrhein-Westfalen,540,4030
Leipzig University of Applied Science,179,6111
Hochschule für Polizei Baden-Württemberg,674,1251
