col0,col1,col2,col3,col4
Defenders of Wildlife,33911198,United States of America,"Washington, D.C.",nonprofit organization
Ceres,15394637,United States of America,Boston,nonprofit organization
Rainforest Alliance,70100117,United States of America,New York City,nonprofit organization
Environmental Defense Fund,157295165,United States of America,New York City,nonprofit organization
Natural Resources Defense Council,177129164,United States of America,New York City,nonprofit organization
Environmental Defense Fund,157295165,United States of America,New York City,non-governmental organization
Bat Conservation International,4726101,United States of America,Austin,non-governmental organization
Environmental Defense Fund,157295165,United States of America,New York City,organization
Student Conservation Association,51007381,United States of America,Charlestown,environmental organization
Resources for the Future,12859047,United States of America,"Washington, D.C.",environmental organization
