col0,col1,col2,col3,col4
Scania K112,Scania,Scania 2-series,Scania K113,Scania BR116
Scania K92,Scania,Scania 2-series,Scania K93,Scania K82
Scania K124,Scania,Scania 4-series,Scania K-series,Scania K113
Scania S112,Scania,Scania 2-series,Scania S113,Scania B111
Scania F82,Scania,Scania 2-series,Scania F92,Scania BF86
Scania F112,Scania,Scania 2-series,Scania F113,Scania BF111
Scania K94,Scania,Scania 4-series,Scania K-series,Scania K93
Volvo B7LA,Volvo Buses,Volvo B7L,Volvo B9LA,Volvo B10LA
Scania F94,Scania,Scania 4-series,Scania F-series,Scania F93
Scania F92,Scania,Scania 2-series,Scania F93,Scania F82
Scania F114,Scania,Scania 4-series,Scania F-series,Scania F113
Scania K113,Scania,Scania 3-series,Scania K124,Scania K112
Scania K82,Scania,Scania 2-series,Scania K92,Scania BR86
Scania F93,Scania,Scania 3-series,Scania F94,Scania F92
Scania F113,Scania,Scania 3-series,Scania F114,Scania F112
Scania K93,Scania,Scania 3-series,Scania K94,Scania K92
Volvo B9RLE 6x2,Volvo Buses,Volvo B9R,Volvo B8RLE,Volvo B12BLE
Scania N112,Scania,Scania 2-series,Scania N113,Scania BR112
Scania N94,Scania,Scania 4-series,Scania N-series,Scania N113
Volvo B7RLE,Volvo Buses,Volvo B7R,Volvo B8RLE,Volvo B10BLE
