col0,col1,col2
Roman Catholic Diocese of Hazaribag,Jojo Anand,Ecclesiastical Province of Ranchi
Roman Catholic Diocese of Gulbarga,Robert Michael Miranda,Ecclesiastical Province of Bangalore
Roman Catholic Diocese of Eluru,Jaya Rao Polimera,Ecclesiastical Province of Visakhapatnam
Roman Catholic Diocese of Agartala,Lumen Monteiro,Ecclesiastical Province of Shillong
Roman Catholic Diocese of Jowai,Victor Lyngdoh,Ecclesiastical Province of Shillong
Roman Catholic Diocese of Vellore,Soundaraj Periyanayagam,Ecclesiastical Province of Madras and Mylapore
Roman Catholic Diocese of Diphu,Paul Mattekatt,Ecclesiastical Province of Guwahati
Roman Catholic Diocese of Bongaigaon,Thomas Pulloppillil,Ecclesiastical Province of Guwahati
Roman Catholic Diocese of Dibrugarh,Joseph Aind,Ecclesiastical Province of Guwahati
Roman Catholic Diocese of Bellary,Henry D’Souza,Ecclesiastical Province of Bangalore
Roman Catholic Diocese of Tura,Andrew Marak,Ecclesiastical Province of Shillong
Roman Catholic Diocese of Alleppey,James Raphael Anaparambil,Ecclesiastical Province of Trivandrum
Roman Catholic Diocese of Guntur,Bhagyaiah Chinnabathini,Ecclesiastical Province of Visakhapatnam
Roman Catholic Diocese of Bagdogra,Vincent Aind,Ecclesiastical Province of Calcutta
Roman Catholic Diocese of Tarnów,Andrzej Jeż,Ecclesiastical province of Kraków
Roman Catholic Diocese of Bhagalpur,Kurian Valiakandathil,Ecclesiastical Province of Patna
Roman Catholic Diocese of Kohima,James Thoppil,Ecclesiastical Province of Imphal
Roman Catholic Diocese of Jalpaiguri,Clement Tirkey,Ecclesiastical Province of Calcutta
Roman Catholic Diocese of Mangalore,Paul Saldanha,Ecclesiastical Province of Bangalore
Roman Catholic Diocese of Udupi,Gerald Isaac Lobo,Ecclesiastical Province of Bangalore
