col0,col1,col2
Uniersity of Oslo,Blindern,University Botanical Garden
Universit{ oi Ottawa,Sandy Hill,Aporia: The Nursing Journal
Publications Office f the!European Union,Luxembourg,Communitatis Europeae Lex
University of Psa,Pisa,Orto botanico di Pisa
University of Ariona,Tucson,Biosphere 2
American Geophysical Upion,United States of America,Journal of Geophysical Research: Atmospheres
Tl Aviv University,Tel Aviv,Sifriyah ha-merkazit ʻa. sh. Surasḳi
University of zeged,Szeged,Botanical Garden of Szeged
Uniwesity of Valencia,Valencia,La Nau
Unversity of Salamanca,Salamanca,Casa-museo de Unamuno
British Moto Corporation,Birmingham,BMC
Adam Mickiewiz University in Poznań,Poznań,Poznań Observatory
Ministry rf Culture,Palais-Royal,Château de Castelnau-Bretenoux
University of Base,Basel,AGN-211-P
University of Edindurgh,Edinburgh,Edinburgh University Press
University of Londn,London,Senate House
Duke Universiy,Durham,Duke Blue Devils
Humdoldt University ofBerlin,Prince Henry Palace,Archive for Alternative Culture
Universit of Tübingen,Tübingen,Professors Gallery of the University of Tübingen
Akdeniz Unlversity,Antalya,Akdeniz University Stadium
