col0,col1,col2,col3
Haut-Bugey Agglomération,65393,42,504.0
Vallons de Haute-Bretagne Communauté,44211,18,504.41
Montfort Communauté,25859,8,194.48
Communauté de communes des Villes Sœurs,38692,28,214.78
communauté de communes du pays d'Ancenis,67991,20,798.06
Questembert Communauté,23866,13,328.07
Communauté de communes du Pays des Sorgues et des Monts de Vaucluse,33960,5,122.0
Liffré-Cormier Communauté,26181,9,252.25
Communauté de communes du Kreiz-Breizh,19356,23,699.02
Pays de Châteaugiron Communauté,26158,5,129.61
