col0,col1,col2,col3,col4
Mon ange gardien,France,Barclay,2,Mon ange gardien EP
Oui Oui Oui Oui,France,Barclay,2,Oui Oui Oui Oui EP
6e série,France,Philips Records,2,Bubble Gum – 6e série
Comme d'habitude / L'homme au traineau / La plus belle chose du monde,France,Philips Records,1,Comme d'habitude / L'Homme au traineau / La plus belle chose du monde
L'eau a la bouche – Bande originale du film,France,Philips Records,2,"Bande originale du film ""L'eau a la bouche"""
Poupée de cire poupée de son – 6e série,France,Philips Records,2,Poupée de cire poupée de son
Il cielo in una stanza EP,Italy,Italdisc,2,Il cielo in una stanza / Confidenziale / Piano / Non voglio cioccolata
Mon ange gardien / Ne m'oublie pas / Oui Oui Oui Oui / La marche des gosses,France,Disques Festival,2,Mon ange gardien / Ne m'oublie pas / Oui Oui Oui Oui / La marche des gosses
Françoise Hardy,France,Disques Vogue,2,Françoise Hardy
Bonnie and Clyde / Comic Strip / Bubble Gum,France,Fontana,1,Bonnie and Clyde / Comic Strip / Bubble Gum
