col0,col1,col2,col3
Finnish Ski Association,Finland,Länsi-Pasila,ski jumping
SANZAAR,Australia,Sydney,rugby union
National Rugby League,France,Paris,rugby union
ULEB,Spain,Barcelona,basketball
Korea Baseball Organization,South Korea,Gangnam,baseball
Minor League Baseball,Canada,St. Petersburg,baseball
Automobile Club de l'Ouest,France,Le Mans,motorsport
European Leagues,Switzerland,Nyon,association football
División Mayor del Fútbol Profesional Colombiano,Colombia,La gran bretaña,association football
Eisenacher Motorenwerk,Germany,Eisenach,Formula One
Quidditch Australia,Australia,Australia,muggle quidditch
Quidditch Canada,Canada,Canada,muggle quidditch
Connacht GAA,Ireland,Connacht,Gaelic football
Cork GAA,Ireland,Cork,Gaelic football
Kansai Ki-in,Japan,Ōsaka,Go
Chinese Weiqi Association,People's Republic of China,Beijing,Go
British Amateur Rugby League Association,United Kingdom,4 New North Parade,rugby league
Liga de Fútbol Profesional,Spain,Madrid,association football
National Volleyball Centre,France,Castelnau-le-Lez,volleyball
Tehvandi Sports Center,Estonia,Nüpli,athletics
