col0,col1,col2
Rawa Voivodeship,Greater Poland Province,109.6
Białystok Voivodeship,People's Republic of Poland,1188000.0
Polesie Voivodeship,Second Polish Republic,1132200.0
Nowogródek Voivodeship,Second Polish Republic,1057200.0
Lwów Voivodeship,Second Polish Republic,3126300.0
Wilno Voivodeship,Second Polish Republic,1276000.0
Warsaw Voivodeship,Poland,2419800.0
Suwałki Voivodeship,Poland,489200.0
Kalisz Voivodeship,Poland,724800.0
West Pomeranian Voivodeship,Poland,1698344.0
Warmian-Masurian Voivodeship,Poland,1437812.0
Silesian Voivodeship,Poland,4617000.0
Pomeranian Voivodeship,Poland,2290070.0
Podlaskie Voivodeship,Poland,1193348.0
Podkarpackie Voivodeship,Poland,2129284.0
Opole Voivodeship,Poland,1010203.0
Masovian Voivodeship,Poland,5492000.0
Lesser Poland Voivodeship,Poland,3360581.0
Łódź Voivodeship,Poland,2508464.0
Lubusz Voivodeship,Poland,1020767.0
