col0,col1,col2
Roman Catholic Diocese of Netzahualcóyotl,413,1950846
Roman Catholic Diocese of Cleveland,3842,2922000
Roman Catholic Diocese of Cairns,377000,272124
Roman Catholic Diocese of Solsona,3536,139185
Roman Catholic Diocese of Perpignan-Elne,4116,422000
Roman Catholic Diocese of Kandy,5733,2558716
Roman Catholic Diocese of Punta Arenas,112310,174165
Roman Catholic Diocese of Casale Monferrato,970,103300
Roman Catholic Diocese of Port-Bergé,23367,596000
Roman Catholic Diocese of Bururi,6500,1462660
Roman Catholic Diocese of Nazaré,5956,1037000
Roman Catholic Diocese of Görlitz,9733,703190
Roman Catholic Diocese of Chulucanas,12498,475000
Roman Catholic Diocese of Apartadó,26000,577000
Roman Catholic Diocese of Nueve de Julio,57016,452000
Roman Catholic Diocese of Anuradhapura,10727,1110904
Roman Catholic Diocese of Bossangoa,62420,505000
Roman Catholic Diocese of Hinche,3000,595000
Roman Catholic Diocese of Wrexham,8361,737000
Roman Catholic Diocese of Kikwit,73000,4397805
