col0,col1,col2
Victoria University,45298,3500
Akdeniz University,17061,1578
University of Münster,44692,7850
Technical University of Munich,40124,545
Leipzig University,30226,5300
University of Jena,18219,6979
University of Cincinnati,42421,5928
University of Potsdam,19972,3983
Freie Universität Berlin,33000,4200
University of Göttingen,31619,12469
Humboldt University of Berlin,35587,4479
Brandenburg University of Technology,7280,1301
University of Bologna,79999,7688
Ludwig Maximilian University of Munich,50918,738
University of Bergamo,15206,555
Miguel Hernández University of Elche,18965,1792
University of Cape Town,23500,5442
Technische Hochschule OWL,6544,697
Braunschweig University of Art,1065,184
HTW Berlin,13922,1430
