col0,col1,col2,col3
The Vault,United Kingdom,micropub,Oswaldtwistle
Bake & Alehouse,United Kingdom,micropub,Westgate-on-Sea
Real Ale Way,United Kingdom,micropub,Westerham
A Y's Man,United Kingdom,micropub,Sheerness
Hidden Treasure,United Kingdom,micropub,Dymchurch
12 Degrees,United Kingdom,micropub,Rochester
Hair of the Dog,United Kingdom,micropub,Minster
The Little Prince,United Kingdom,micropub,Margate
Ales of the Unexpected,United Kingdom,micropub,Margate
The Vault,United Kingdom,micropub,New Ash Green
