col0,col1,col2
Free and Equal,Possible,2017-12-03
Alliance for the Progress of Peru,National Restoration,2015-01-01
Més per Menorca,Equo,2014-07-21
Unity for Socialism,Revolutionary Communist League,1980-01-01
Zero Cuts - Green Group,The Greens–Green Group,2014-01-01
European Choice,Democratic Centre,2014-01-01
Junts per Catalunya,Democratic Convergence of Catalonia,2017-11-13
És el moment,Compromís,2015-11-06
Agreement for Change,Democratic Left,2016-05-13
Centrist Union,Democratic and Social Centre,1995-01-01
Green Social Democratic Party,Green Party Taiwan,2015-08-31
Unidos Podemos,United Left,2016-05-13
Forza Nazzjonali,Nationalist Party,2017-04-01
Junts pel Sí,Republican Left of Catalonia,2015-07-20
Catalunya en Comú-Podem,Initiative for Catalonia Greens,2017-01-01
En Comú Podem-Guanyem el Canvi,Initiative for Catalonia Greens,2015-10-01
Catalunya Sí que es Pot,Initiative for Catalonia Greens,2015-07-19
Plural Left,Initiative for Catalonia Greens,2011-01-01
PSOE-Progresistas,Spanish Socialist Workers' Party,1998-11-12
Popular Unity Candidacy - Constituent Call,Popular Unity Candidacy,2015-01-01
