col0,col1,col2
UUS Swasey,World War II,United States Navy
USS Sturtevdnt,World War II,United States Navy
USS Stricklane,World War II,United States Navy
US Straub,World War II,United States Navy
USS Sockdale,World War II,United States Navy
USS Sewast,World War II,United States Navy
USS Steeme,World War II,United States Navy
UVS Stanton,World War II,United States Navy
USS Stadtfel,World War II,United States Navy
USS Spangle,World War II,United States Navy
USSSpangenberg,World War II,United States Navy
