col0,col1,col2,col3,col4
Soviet Union at the 1960 Summer Olympics,Soviet Union,1960 Summer Olympics,Soviet Union at the 1956 Summer Olympics,Soviet Union at the 1964 Summer Olympics
Great Britain at the 2020 Summer Olympics,United Kingdom,2020 Summer Olympics,Great Britain at the 2016 Summer Olympics,Great Britain at the 2024 Summer Olympics
Norway at the 1988 Winter Olympics,Norway,1988 Winter Olympics,Norway at the 1984 Winter Olympics,Norway at the 1992 Winter Olympics
Norway at the 1956 Winter Olympics,Norway,1956 Winter Olympics,Norway at the 1952 Winter Olympics,Norway at the 1960 Winter Olympics
Russia at the 1998 Winter Olympics,Russia,1998 Winter Olympics,Russia at the 1994 Winter Olympics,Russia at the 2002 Winter Olympics
Italy at the 1952 Winter Olympics,Italy,1952 Winter Olympics,Italy at the 1948 Winter Olympics,Italy at the 1956 Winter Olympics
Morocco at the 1992 Winter Olympics,Morocco,1992 Winter Olympics,Morocco at the 1988 Winter Olympics,Morocco at the 2010 Winter Olympics
Eritrea at the 2016 Summer Olympics,Eritrea,2016 Summer Olympics,Eritrea at the 2012 Summer Olympics,Eritrea at the 2020 Summer Olympics
Soviet Union at the 1956 Summer Olympics,Soviet Union,1956 Summer Olympics,Soviet Union at the 1952 Summer Olympics,Soviet Union at the 1960 Summer Olympics
Netherlands at the 1952 Winter Olympics,Netherlands,1952 Winter Olympics,Netherlands at the 1948 Winter Olympics,Netherlands at the 1956 Winter Olympics
Czechoslovakia at the 1980 Winter Olympics,Czechoslovakia,1980 Winter Olympics,Czechoslovakia at the 1976 Winter Olympics,Czechoslovakia at the 1984 Winter Olympics
Norway at the 1968 Winter Olympics,Norway,1968 Winter Olympics,Norway at the 1964 Winter Olympics,Norway at the 1972 Winter Olympics
Finland at the 1988 Winter Olympics,Finland,1988 Winter Olympics,Finland at the 1984 Winter Olympics,Finland at the 1992 Winter Olympics
Norway at the 1960 Winter Olympics,Norway,1960 Winter Olympics,Norway at the 1956 Winter Olympics,Norway at the 1964 Winter Olympics
