col0,col1,col2,col3
Queen Louise Kirsch Puppet Theater,Russia,Kaliningrad,1964-01-01
Wrocław Puppet Theater,Poland,Wrocław,1894-01-01
Gradsko kazalište lutaka Split,Croatia,Split,1945-03-08
Zagrebačko kazalište lutaka,Croatia,Zagreb,1948-02-06
Rostov State Puppet Theatre,Russia,Rostov-on-Don,1935-01-01
Białostocki Teatr Lalek,Poland,Białystok,1953-01-01
Great Puppet Theatre,Russia,Saint Petersburg,1931-05-16
Teatr Ateneum,Poland,Katowice,1945-01-01
Stolichen kuklen teatr,Bulgaria,Sofia,1946-01-01
Teatr Lalek Pleciuga,Poland,Szczecin,1958-01-01
Republican Theater of the Young Spectator of Uzbekistan,Uzbekistan,Tashkent,1939-12-25
