col0,col1,col2
George Pal’s studio,1930-01-01,1939-01-01
VEPRO,1939-01-01,1942-01-01
Animated Cartoon Company,1932-01-01,1930-01-01
Dollywood,1941-01-01,1971-01-01
Dessins Animés Européens,1934-01-01,t457138510
British Animated Productions,1946-01-01,1953-01-01
Gaumont-British Animation,1944-01-01,1949-01-01
Anglia Films,1935-01-01,1938-01-01
Publi-Ciné,1919-01-01,1944-01-01
Aladin Net Prod,1991-01-01,2006-01-01
"Lide, Inc.",2018-12-14,2019-04-15
Harman-Ising studio,1929-01-01,1938-07-01
Pantomime Pictures,1958-01-01,2010-01-01
Fables Studio,1920-01-01,1929-01-01
International Rocketship Limited,1975-01-01,1999-02-28
Shamus Culhane Productions,1947-01-01,1959-01-01
TVC London,1957-01-01,1997-01-01
Pat Sullivan Studio,1915-01-01,1928-01-01
John Sutherland Productions,1945-01-01,1991-01-01
Qurios Entertainment,2002-01-01,2013-01-01
