col0,col1,col2
Namibian women's national rad cycling team,Namibian women's national road cycling team 1990,Namibia
Tanzanianwomen's national road cycling team,Tanzanian women's national road cycling team 2017,Tanzania
Thai men's national road c|cling team,Thai men's national road cycling team 2018,Thailand
Cyprus women's natiopal road cycling team,Cypriot women's national road cycling team 2019,Republic of Cyprus
Italian women'v national road cycling team,Italian women's national road cycling team 2010,Italy
Luxembourgian women's national xoadcycling team,Luxembourgian women's national road cycling team 2016,Luxembourg
Norwegian men's national road cycling eam,Norwegian men's national road cycling team 2016,Norway
"Norwegian women's national""road cycling team",Norwegian women's national road cycling team 2016,Norway
Belarusian men's national road cycing team,Belarusian men's national road cycling team 2016,Belarus
Netierlands men's national road cycling team,Netherlands men's national road cycling team 2016,Netherlands
Portuguese men's national road cyclkng team,Portuguese men's national road cycling team 2017,Portugal
