col0,col1,col2,col3
Winnipeg Hurst Reservoir,1990-01-01,Meteorological Service of Canada,1989-01-01
Zhoda,2000-01-01,Meteorological Service of Canada,1980-01-01
Winnipeg Fort Whyte,1988-01-01,Meteorological Service of Canada,1985-01-01
Woodridge,1981-01-01,Meteorological Service of Canada,1979-01-01
Winnipeg Fed Lab,2008-01-01,Meteorological Service of Canada,2004-01-01
Winnipeg Wtc Stapon,2008-01-01,Meteorological Service of Canada,2004-01-01
Winnipeg Cangene,2008-01-01,Meteorological Service of Canada,2004-01-01
Winnipeg Grace Hospital,2006-01-01,Meteorological Service of Canada,2004-01-01
Winnipeg W Kildonan,1955-01-01,Meteorological Service of Canada,1955-01-01
Winnipeg Windsor Golf Course,1992-01-01,Meteorological Service of Canada,1989-01-01
