col0,col1,col2,col3
Ukrainian Greek Catholic Eparchy of Buchach,Ukrainian Catholic Metropolitan Archdiocese of Ivano-Frankivsk,eparchy,Ukrainian
Eparchy of Piana degli Albanesi,Roman Catholic Archdiocese of Agrigento,eparchy,Greek
Eparchy of Lungro,Roman Catholic Diocese of Tursi-Lagonegro,eparchy,Greek
Eparchy of Bratislava,Greek Catholic Archeparchy of Prešov,eparchy,Slovak
Ukrainian Catholic Eparchy of Kolomyia,Ukrainian Catholic Metropolitan Archdiocese of Ivano-Frankivsk,eparchy,Ukrainian
Syro-Malabar Catholic Eparchy of Rajkot,Roman Catholic Diocese of Ajmer,eparchy,Malayalam
Hungarian Catholic Eparchy of Miskolc,Hungarian Greek Catholic Archeparchy of Hajdúdorog,eparchy,Hungarian
Byzantine Catholic Eparchy of Ruski Krstur,Apostolic Exarchate of Sofia,eparchy,Ruthenian
Syrian Catholic Eparchy of Our Lady of Deliverance of Newark,Syrian Catholic Apostolic Exarchate for Canada,eparchy,Arabic
Macedonian Catholic Eparchy of the Blessed Virgin Mary Assumed in Strumica-Skopje,Apostolic Exarchate of Sofia,eparchy,Albanian
