col0,col1,col2,col3
Manukau Institute of Technology,institute,"ORCID, Inc.",1970-01-01
National Audiovisual Institute,institute,Association of European Film Archives and Cinematheques,2014-01-01
Institute of Botany of the Czech Academy of Sciences,institute,Consortium of European Taxonomic Facilities,1962-01-01
Railway Institute,institute,International Union of Railways,1951-05-30
National Audiovisual Institute,cinematheque,Association of European Film Archives and Cinematheques,2014-01-01
Institute of Botany of the Czech Academy of Sciences,research institute,Consortium of European Taxonomic Facilities,1962-01-01
Plekhanov Russian Economic University,open-access publisher,European University Association,1907-01-01
Institut technologique européen d'entrepreneuriat et de management,engineering degree in France,Lille North of France University,2003-01-01
"Istituto Nazionale di Documentazione, Innovazione e Ricerca Educativa",institute,"ORCID, Inc.",1925-01-01
Institut technologique européen d'entrepreneuriat et de management,institute,Lille North of France University,2003-01-01
Lille Institute for health systems engineering,institute,NSL cluster,1992-01-01
Institut industriel du Nord,institute,Société industrielle du Nord de la France,1872-01-01
Institut de Génie Informatique et Industriel,institute,Lille North of France University,1992-01-01
Swiss Institute for Art Research,institute,Memoriav,1951-01-01
