col0,col1,col2,col3
Power to the People!,Communist Refoundation Party,libertarian socialism,2017-12-17
Catalunya en Comú-Podem,Initiative for Catalonia Greens,Catalan nationalism,2017-01-01
Together,Italian Socialist Party,green politics,2017-12-14
Vallée d'Aoste,Democratic Party,autonomism,2018-01-01
Republics Now,Republican Left of Catalonia,left-wing nationalism,2019-01-01
Us with Italy,Union of the Centre,liberal conservatism,2017-12-19
Candidatura d'Unitat Popular-Alternativa d'Esquerres,Popular Unity Candidacy,Catalan pro-independence movement,2012-01-01
Catalunya en Comú-Podem,Initiative for Catalonia Greens,republicanism,2017-01-01
Republics Now,Republican Left of Catalonia,republicanism,2019-01-01
Together,Italian Socialist Party,progressivism,2017-12-14
Adelante Andalucía,Equo,progressivism,2018-06-07
Candidatura d'Unitat Popular-Alternativa d'Esquerres,Popular Unity Candidacy,anti-capitalism,2012-01-01
