col0,col1,col2
254th Motor Rifle Division,Soviet Union,1945-11-01
2nd Rifle Division,Soviet Union,1946-01-28
2nd Rifle Division,Soviet Union,1941-09-19
114th Guards Airborne Division,Soviet Union,1946-06-01
409th Rifle Division (Soviet Union),Soviet Union,1945-01-01
252nd Rifle Division,Soviet Union,1947-01-01
269th Rifle Division,Soviet Union,1945-05-09
76th Rifle Division,Soviet Union,1941-12-09
153rd Rifle Division,Soviet Union,1941-09-18
99th Infantry Division (1st formation),Soviet Union,1943-01-01
88th Rifle Division (Soviet Union),Soviet Union,1942-01-01
84th Rifle Division,Soviet Union,1945-01-01
"Horia, Cloşca şi Crişan Division",Romania,1994-01-01
67th Rifle Division,Soviet Union,1941-01-01
65th Rifle Division,Soviet Union,1944-12-29
60th Mountain Rifle Division,Soviet Union,1941-09-19
6th Rifle Division,Soviet Union,1946-01-01
58th Mountain Rifle Division,Soviet Union,1941-09-19
50th Rifle Division,Soviet Union,1945-01-01
5th Guards Rifle Division,Soviet Union,1959-07-01
